标题,个人评分,打分日期,我的短评,出版日期,作者,条目链接
"凯旋门","4","2021/02/11","","2007/3","(德)雷马克","https://book.douban.com/subject/2050776/"
"西线无战事","4","2021/02/11","","2017/6","[德] 雷马克","https://book.douban.com/subject/26324832/"
"黑色方尖碑","4","2021/02/11","","2019/3","[德] 雷马克","https://book.douban.com/subject/30407791/"
"家","4","2021/02/11","","1981/09/01","巴金","https://book.douban.com/subject/1082522/"
"春","4","2021/02/11","","1962/08/01","巴金","https://book.douban.com/subject/1139945/"
"秋","4","2021/02/11","","1962/8/1","巴金","https://book.douban.com/subject/1139941/"
"猎人笔记","4","2021/02/11","","2006/8","屠格涅夫","https://book.douban.com/subject/1894740/"
"红字","4","2021/02/11","","2007/7","(美)霍桑","https://book.douban.com/subject/2193878/"
"如果在冬夜，一个旅人","4","2021/02/11","","2007/6","[意大利] 伊塔洛·卡尔维诺","https://book.douban.com/subject/2136484/"
"宇宙奇趣全集","4","2021/02/11","","2011/4","伊塔洛·卡尔维诺","https://book.douban.com/subject/5446490/"
"短篇小说集","4","2021/02/11","","2010/10","[意大利] 伊塔洛·卡尔维诺","https://book.douban.com/subject/4882011/"
"漂亮朋友","4","2021/02/11","","2008","莫泊桑","https://book.douban.com/subject/3144753/"
"太阳照常升起","4","2021/02/11","","2004/6/1","海明威","https://book.douban.com/subject/1174722/"
"丧钟为谁而鸣","4","2021/02/11","","2004/6","海明威","https://book.douban.com/subject/1174721/"
"老人与海","4","2021/02/11","","1999/10","[美]海明威","https://book.douban.com/subject/1064275/"
"乞力马扎罗的雪","4","2021/02/11","","2006/8","[美]海明威","https://book.douban.com/subject/1874411/"
"流动的盛宴","4","2021/02/11","","2009/1","[美] 海明威","https://book.douban.com/subject/3393056/"
"奥兰多","4","2021/02/03","","2014/4","[英] 弗吉尼亚·伍尔夫","https://book.douban.com/subject/25774861/"
"堂吉诃德","5","2021/01/30","","2002/7/1","塞万提斯","https://book.douban.com/subject/1005918/"
"人间喜剧","5","2021/01/30","","2009/10","巴尔扎克","https://book.douban.com/subject/4199233/"
"猎人笔记","5","2021/01/30","","2015/3","[俄] 屠格涅夫","https://book.douban.com/subject/25837850/"
