标题,个人评分,打分日期,我的短评,出版日期,作者,条目链接
"城堡","5","2019/10/26","","2007/3","[奥地利] 卡夫卡","https://book.douban.com/subject/2036561/"
"卡夫卡小说全集（全三册）","5","2019/10/26","","2003/08","[奥] 卡夫卡","https://book.douban.com/subject/1081422/"
"变形记","5","2019/10/26","","2003/4","[奥] 卡夫卡","https://book.douban.com/subject/1213546/"
"海明威短篇小说集","5","2019/10/26","","2015/11","【美】海明威","https://book.douban.com/subject/26654289/"
"老人与海","5","2019/10/26","","2011/8/1","海明威 (Ernest Hemingway)","https://book.douban.com/subject/6854863/"
"永别了，武器","4","2019/10/26","","2006/8","(美)海明威","https://book.douban.com/subject/1883349/"
"加缪短篇小说集","4","2019/10/26","","2015/11","[法] 阿尔贝·加缪","https://book.douban.com/subject/26654284/"
"马克·吐温短篇小说集","4","2019/10/26","","2011/6","马克·吐温","https://book.douban.com/subject/6527511/"
"百万英镑","4","2019/10/26","","1999/8/1","马克·吐温","https://book.douban.com/subject/1092246/"
"汤姆·索亚历险记","4","2019/10/26","","2007/7","(美)马克·吐温","https://book.douban.com/subject/2193881/"
"哈克贝里·芬历险记","4","2019/10/26","","2006/8","马克·吐温","https://book.douban.com/subject/1914223/"
"远大前程","4","2019/10/26","","2011/5/1","[英]狄更斯","https://book.douban.com/subject/6313476/"
"爱伦·坡暗黑故事全集（上册）","4","2019/10/26","","2013/1","[美] 爱伦•坡","https://book.douban.com/subject/20493367/"
"爱伦·坡暗黑故事全集（下册）","4","2019/10/26","","2013/1","[美] 爱伦•坡","https://book.douban.com/subject/20493369/"
"爱伦·坡诗集","4","2019/10/26","","2012/11","[美] 埃德加·爱伦·坡","https://book.douban.com/subject/10830086/"
"杰克·伦敦精选集","4","2019/10/26","","2008/12","[美]杰克·伦敦","https://book.douban.com/subject/3499324/"
"杰克·伦敦小说选 野性的呼唤 海狼","5","2019/10/26","","2010/11","杰克·伦敦","https://book.douban.com/subject/5910769/"
"条件反射","5","2019/10/26","","2010/1","巴甫洛夫","https://book.douban.com/subject/4267174/"
"天体运行论","5","2019/10/26","","2006/5/1","哥白尼","https://book.douban.com/subject/1835311/"
"昆虫记","5","2019/10/26","","2012/11","(法) 法布尔","https://book.douban.com/subject/6021942/"
"成人漫畫表現史","5","2019/10/26","","2018/12/26","稀見理都","https://book.douban.com/subject/30387599/"
"《华尔街日报》是如何讲故事的","4","2019/10/26","","2006/1","[美] 威廉·E.布隆代尔","https://book.douban.com/subject/1472946/"
"钢铁是怎样炼成的","4","2019/10/26","","1983/10","【苏联】奥斯特洛夫斯基","https://book.douban.com/subject/2994181/"
"普希金抒情诗选","4","2019/10/26","","1984/8","刘湛秋","https://book.douban.com/subject/1469036/"
"忏悔录","4","2019/10/26","","2022/1","[法]让-雅克•卢梭","https://book.douban.com/subject/26830625/"
"金阁寺","4","2019/10/26","","2009/1","[日] 三岛由纪夫","https://book.douban.com/subject/3391248/"
"假面自白","4","2019/10/26","","2009/1","[日] 三岛由纪夫","https://book.douban.com/subject/3391245/"
"奔马","4","2019/10/26","","2010/12","(日) 三岛由纪夫","https://book.douban.com/subject/4823788/"
"仲夏之死","4","2019/10/26","","2012/2","(日)三岛由纪夫","https://book.douban.com/subject/6719661/"
"纯白之夜","4","2019/10/26","","2011/7","[日] 三岛由纪夫","https://book.douban.com/subject/6021104/"
"源氏物语","5","2019/10/26","","2015/8","[日] 紫式部","https://book.douban.com/subject/26291587/"
"写作这回事","4","2019/10/26","","2009.08","[美] 斯蒂芬·金","https://book.douban.com/subject/3888123/"
"斯蒂芬·金的故事贩卖机","4","2019/10/26","","2012/2","(美)斯蒂芬·金","https://book.douban.com/subject/7007230/"
"杜马岛","4","2019/10/26","","2009/10","[美] 斯蒂芬·金","https://book.douban.com/subject/4038618/"
"肖申克的救赎","5","2019/10/26","","2006/7","[美] 斯蒂芬·金","https://book.douban.com/subject/1829226/"
"日落之后","4","2019/10/26","","2013/1","[美] 斯蒂芬·金","https://book.douban.com/subject/20279983/"
"必需品专卖店","4","2019/10/26","","2012/3","(美)斯蒂芬·金","https://book.douban.com/subject/7175439/"
"魔符","4","2019/10/26","","2013/1","(美)斯蒂芬·金","https://book.douban.com/subject/11604560/"
"布莱泽","4","2019/10/26","","2010/3","(美) 巴克曼","https://book.douban.com/subject/4140455/"
"11/22/63","5","2019/10/26","","2016/10","[美] 斯蒂芬·金","https://book.douban.com/subject/26837794/"
"黑暗塔1：枪侠","4","2019/10/26","","2013/8","[美]斯蒂芬·金","https://book.douban.com/subject/25245712/"
"黑暗塔2：三张牌","4","2019/10/26","","2013/8","[美]斯蒂芬·金","https://book.douban.com/subject/25248915/"
"黑暗塔3：荒原","4","2019/10/26","","2013/8","[美]斯蒂芬·金","https://book.douban.com/subject/25251631/"
"黑暗塔4：巫师与玻璃球","4","2019/10/26","","2013/8","[美]斯蒂芬·金","https://book.douban.com/subject/25263930/"
"黑暗塔5：卡拉之狼","3","2019/10/26","","2013/8","[美]斯蒂芬·金","https://book.douban.com/subject/25269146/"
"黑暗塔6：苏珊娜之歌","4","2019/10/26","","2013/8","[美]斯蒂芬·金","https://book.douban.com/subject/25271458/"
"黑暗塔7：黑暗塔","4","2019/10/26","","2013/8","[美]斯蒂芬·金","https://book.douban.com/subject/25273321/"
"穿过锁孔的风","4","2019/10/26","","2013/11/1","斯蒂芬·金","https://book.douban.com/subject/25761490/"
"春日序曲","4","2019/10/26","","2019/8/1","[美国] 安德烈·艾席蒙","https://book.douban.com/subject/33451948/"
"窗边的小豆豆","4","2019/10/26","","2003/1","[日] 黑柳彻子 著","https://book.douban.com/subject/1007914/"
"倾城之恋","4","2019/10/26","","2006/12","张爱玲","https://book.douban.com/subject/1985223/"
"红楼梦魇","4","2019/10/26","","2007/2","张爱玲","https://book.douban.com/subject/2008406/"
"半生缘","4","2019/10/26","","2006/12","张爱玲","https://book.douban.com/subject/1963684/"
"一个陌生女人的来信","5","2019/10/26","","2007/7","[奥] 斯蒂芬·茨威格","https://book.douban.com/subject/2154960/"
"少有人走的路","4","2019/10/26","","2007/1","[美] M·斯科特·派克","https://book.douban.com/subject/1775691/"
"红玫瑰与白玫瑰","4","2019/10/26","","1996/06","张爱玲","https://book.douban.com/subject/1014278/"
"阿Q正传","5","2019/10/26","","2003/7","鲁迅 著","https://book.douban.com/subject/1088065/"
"格林童话全集","5","2019/10/26","","1994/11","[德]格林兄弟","https://book.douban.com/subject/1043008/"
"一个人的朝圣","4","2019/10/26","","2013/9/1","[英] 蕾秋·乔伊斯","https://book.douban.com/subject/24934182/"
"如何阅读一本书","4","2019/10/26","","2004/1","[美] 莫提默·J. 艾德勒","https://book.douban.com/subject/1013208/"
"雷雨","4","2019/10/26","","1999/05","曹禺","https://book.douban.com/subject/1013416/"
"菊与刀","5","2019/10/26","","1990/6","[美]鲁思・本尼迪克特","https://book.douban.com/subject/1022238/"
"刀锋","4","2019/10/26","","2007/3","[英]毛姆","https://book.douban.com/subject/2035162/"
"我与地坛","4","2019/10/26","","2002/5","史铁生","https://book.douban.com/subject/1209899/"
"草叶集","4","2019/10/26","","2004/05","(美)瓦尔特.惠特曼","https://book.douban.com/subject/1039809/"
"新月集","4","2019/10/26","","2004/8/1","（印）罗宾德拉纳德·泰戈尔（Tagore)","https://book.douban.com/subject/1180087/"
"飞鸟集","4","2019/10/26","","2004/6","[印] 罗宾德拉纳德·泰戈尔","https://book.douban.com/subject/1058661/"
"呼兰河传","4","2019/10/26","","2005/01","萧红","https://book.douban.com/subject/1060852/"
"荆棘鸟","4","2019/10/26","","1998/7","[澳] 考琳·麦卡洛","https://book.douban.com/subject/1086249/"
"Charlotte's Web","5","2019/10/26","","2012/4/10","E. B. White","https://book.douban.com/subject/1371734/"
"史蒂夫·乔布斯传","4","2019/10/26","","2011/10/24","[美] 沃尔特·艾萨克森","https://book.douban.com/subject/6798611/"
"我的天才女友","4","2019/10/26","","2017/1","[意] 埃莱娜·费兰特","https://book.douban.com/subject/26878124/"
"失踪的孩子","4","2019/10/26","","2018/7","[意] 埃莱娜·费兰特","https://book.douban.com/subject/30172069/"
"新名字的故事","4","2019/10/26","","2017/4","[意] 埃莱娜·费兰特","https://book.douban.com/subject/26986954/"
"离开的，留下的","4","2019/10/26","","2017/10","[意] 埃莱娜·费兰特","https://book.douban.com/subject/27104959/"
"时间简史","4","2019/10/26","","2010/4","[英] 史蒂芬·霍金","https://book.douban.com/subject/1034282/"
"时间旅行者的妻子","4","2019/10/26","","2007/4","[美] 奥德丽·尼芬格","https://book.douban.com/subject/2056749/"
"冰与火之歌·卷一·权力的游戏（全三册）","5","2019/10/26","","2012/1/1","[美]乔治·R.R.马丁","https://book.douban.com/subject/6964050/"
"冰与火之歌·卷二·列王的纷争（全三册）","5","2019/10/26","","2012/4/1","[美] 乔治·R. R. 马丁","https://book.douban.com/subject/10488620/"
"冰与火之歌·卷三·冰雨的风暴（全三册）","5","2019/10/26","","2012/6","(美)乔治·R. R. 马丁","https://book.douban.com/subject/10608468/"
"冰与火之歌·卷四·群鸦的盛宴（全三册）","5","2019/10/26","","2012/9","乔治·马丁","https://book.douban.com/subject/11628196/"
"冰与火之歌·卷五·魔龙的狂舞（全三册）","5","2019/10/26","","2013/1","(美)乔治·R. R. 马丁","https://book.douban.com/subject/20381804/"
"七王国的骑士","4","2019/10/26","","2014/1/1","(美)乔治·R. R. 马丁","https://book.douban.com/subject/25778124/"
"未来简史","4","2019/10/26","","2017/2","[以色列] 尤瓦尔·赫拉利","https://book.douban.com/subject/26943161/"
"看不见的城市","4","2019/10/26","","2006/8","[意大利]伊塔洛·卡尔维诺","https://book.douban.com/subject/1863930/"
"ZOO","4","2019/10/26","","2007/10","[日] 乙一","https://book.douban.com/subject/2297697/"
"莎士比亚全集（全8册）","5","2019/10/26","","1998/5","[英] 莎士比亚","https://book.douban.com/subject/1089049/"
"海子的诗","4","2019/10/26","","1999/04","海子","https://book.douban.com/subject/1011754/"
"娱乐至死","4","2019/10/26","","2011/6","[美] 尼尔·波兹曼","https://book.douban.com/subject/1062193/"
"雾都孤儿","4","2019/10/26","","1991/7","[英]狄更斯","https://book.douban.com/subject/1203251/"
"悲惨世界（上中下）","5","2019/10/26","","1992/6","[法] 雨果","https://book.douban.com/subject/1205054/"
"一个叫欧维的男人决定去死","4","2019/10/26","","2015/12","[瑞典] 弗雷德里克·巴克曼","https://book.douban.com/subject/26672693/"
"第一性","3","2019/10/26","","2008/04","[法]泽穆尔","https://book.douban.com/subject/3041486/"
"洛丽塔","4","2019/10/26","","2005/12","[美] 弗拉基米尔·纳博科夫","https://book.douban.com/subject/1465324/"
"追风筝的人","4","2019/10/25","","2006/5","[美] 卡勒德·胡赛尼","https://book.douban.com/subject/1770782/"
"解忧杂货店","4","2019/10/25","","2014/5","[日] 东野圭吾","https://book.douban.com/subject/25862578/"
"白夜行","4","2019/10/25","","2008/9","[日] 东野圭吾","https://book.douban.com/subject/3259440/"
"嫌疑人X的献身","4","2019/10/25","","2008/9","[日] 东野圭吾","https://book.douban.com/subject/3211779/"
"放学后","3","2019/10/25","","2010/1","[日] 东野圭吾","https://book.douban.com/subject/4074636/"
"幻夜","3","2019/10/25","","2009/9","[日] 东野圭吾","https://book.douban.com/subject/4009552/"
"时生","3","2019/10/25","","2010/1","[日]东野圭吾","https://book.douban.com/subject/4152754/"
"虚无的十字架","3","2019/10/25","","2015/7","[日] 东野圭吾","https://book.douban.com/subject/26413027/"
"流星之绊","4","2019/10/25","","2010/3","[日]东野圭吾","https://book.douban.com/subject/4580972/"
"圣女的救济","3","2019/10/25","","2009/5","[日] 东野圭吾","https://book.douban.com/subject/3713327/"
"变身","3","2019/10/25","","2009/07/01","[日]东野圭吾","https://book.douban.com/subject/3865832/"
"祈祷落幕时","3","2019/10/25","","2015/1","(日)东野圭吾","https://book.douban.com/subject/26118072/"
"拉普拉斯的魔女","3","2019/10/25","","2017/1","[日] 东野圭吾","https://book.douban.com/subject/26920165/"
"谁杀了她","3","2019/10/25","","2012/10","[日] 东野圭吾","https://book.douban.com/subject/10594788/"
"同级生","3","2019/10/25","","2012/3","东野圭吾","https://book.douban.com/subject/7047148/"
"我杀了他","3","2019/10/25","","2013/4","[日] 东野圭吾","https://book.douban.com/subject/20449829/"
"疾风回旋曲","2","2019/10/25","","2014/5","[日] 东野圭吾","https://book.douban.com/subject/25841847/"
"我的晃荡的青春","3","2019/10/25","","2015/9","东野圭吾","https://book.douban.com/subject/26576518/"
"空中杀人现场","3","2019/10/25","","2013/6","[日] 东野圭吾","https://book.douban.com/subject/23010385/"
"天空之蜂","3","2019/10/25","","2015/2","〔日〕东野圭吾","https://book.douban.com/subject/26264953/"
"小王子","5","2019/10/25","","2003/8","[法] 圣埃克苏佩里","https://book.douban.com/subject/1084336/"
"活着","4","2019/10/25","","2012/8","余华","https://book.douban.com/subject/4913064/"
"三体","4","2019/10/25","","2008/1","刘慈欣","https://book.douban.com/subject/2567698/"
"三体Ⅱ","4","2019/10/25","","2008/5","刘慈欣","https://book.douban.com/subject/3066477/"
"三体Ⅲ","4","2019/10/25","","2010/11","刘慈欣","https://book.douban.com/subject/5363767/"
"围城","5","2019/10/25","","1991/2","钱锺书","https://book.douban.com/subject/1008145/"
"挪威的森林","4","2019/10/25","","2001/2","[日] 村上春树","https://book.douban.com/subject/1046265/"
"1Q84 BOOK 1","4","2019/10/25","","2010/5","[日] 村上春树","https://book.douban.com/subject/4742918/"
"1Q84 BOOK 2","4","2019/10/25","","2010/6","[日] 村上春树","https://book.douban.com/subject/4885241/"
"海边的卡夫卡","4","2019/10/25","","2003/4","[日] 村上春树","https://book.douban.com/subject/1059419/"
"1Q84 BOOK 3","3","2019/10/25","","2011/1","[日] 村上春树","https://book.douban.com/subject/5502995/"
"刺杀骑士团长","3","2019/10/25","","2018/3","[日] 村上春树","https://book.douban.com/subject/27199470/"
"袭击面包店","4","2019/10/25","","2015/1/1","(日)村上春树","https://book.douban.com/subject/26264956/"
"红楼梦","5","2019/10/25","","1996/12","[清] 曹雪芹 著","https://book.douban.com/subject/1007305/"
"百年孤独","5","2019/10/25","","2011/6","[哥伦比亚] 加西亚·马尔克斯","https://book.douban.com/subject/6082808/"
"霍乱时期的爱情","5","2019/10/25","","2012/9/1","[哥伦比亚] 加西亚·马尔克斯","https://book.douban.com/subject/10594787/"
"苦妓回忆录","4","2019/10/25","","2015/3/1","加西亚·马尔克斯","https://book.douban.com/subject/26276279/"
"平凡的世界（全三部）","4","2019/10/25","","2005/1","路遥","https://book.douban.com/subject/1200840/"
"不能承受的生命之轻","4","2019/10/25","","2003/7","[捷克] 米兰·昆德拉","https://book.douban.com/subject/1017143/"
"告别圆舞曲","4","2019/10/25","","2004/04","[捷克] 米兰·昆德拉","https://book.douban.com/subject/1037954/"
"达·芬奇密码","3","2019/10/25","","2004/2","[美] 丹·布朗","https://book.douban.com/subject/1040771/"
"天使与魔鬼","3","2019/10/25","","2005/2","[美] 丹.布朗","https://book.douban.com/subject/1228110/"
"失落的秘符","3","2019/10/25","","2010/1","[美] 丹·布朗","https://book.douban.com/subject/4171951/"
"数字城堡","3","2019/10/25","","2004/9","[美] 丹·布朗","https://book.douban.com/subject/1057206/"
"地狱","3","2019/10/25","","2013/12","(美)丹·布朗","https://book.douban.com/subject/25756947/"
"本源","3","2019/10/25","","2018/5","[美] 丹·布朗","https://book.douban.com/subject/30142312/"
"哈利·波特与魔法石","4","2019/10/25","","2000/9","[英] J. K. 罗琳","https://book.douban.com/subject/1041007/"
"哈利·波特与阿兹卡班的囚徒","4","2019/10/25","","2000/9","[英] J. K. 罗琳","https://book.douban.com/subject/1071241/"
"哈利·波特与密室","4","2019/10/25","","2000/9","[英] J. K. 罗琳","https://book.douban.com/subject/1039487/"
"哈利·波特与火焰杯","4","2019/10/25","","2001/5","[英] J. K. 罗琳","https://book.douban.com/subject/1009257/"
"哈利·波特与混血王子","4","2019/10/25","","2005/10","[英] J. K. 罗琳","https://book.douban.com/subject/1432596/"
"哈利·波特与凤凰社","4","2019/10/25","","2003/9","[英] J. K. 罗琳","https://book.douban.com/subject/1013129/"
"哈利·波特与死亡圣器","4","2019/10/25","","2007/10","[英] J. K. 罗琳","https://book.douban.com/subject/2295163/"
"神奇动物在哪里","4","2019/10/25","","2001/10","[英] 纽特·斯卡曼","https://book.douban.com/subject/1028779/"
"神奇动物：格林德沃之罪","4","2019/10/25","","2018/11/16","[英] J·K·罗琳","https://book.douban.com/subject/30368773/"
"简爱（英文全本）","5","2019/10/25","","2003/11","[英] 夏洛蒂·勃朗特","https://book.douban.com/subject/1141406/"
"维莱特","4","2019/10/25","","2000/12","夏洛蒂·勃朗特","https://book.douban.com/subject/1084891/"
"谢利","4","2019/10/25","","2000/12","夏洛蒂·勃朗特","https://book.douban.com/subject/1084914/"
"傲慢与偏见","4","2019/10/25","","1993/7","[英] 奥斯丁","https://book.douban.com/subject/1083428/"
"目送","4","2019/10/25","","2009/10","龙应台","https://book.douban.com/subject/3995526/"
"亲爱的安德烈","4","2019/10/25","","2008/12","龙应台","https://book.douban.com/subject/3369793/"
"孩子你慢慢来","4","2019/10/25","","2009/12/1","龙应台","https://book.douban.com/subject/4207781/"
"边城","4","2019/10/25","","2002/4","沈从文","https://book.douban.com/subject/1057244/"
"斜阳","4","2019/10/25","","2008/10","（日）太宰治","https://book.douban.com/subject/3259428/"
"女生徒","4","2019/10/25","","2009/10/1","[日]太宰治","https://book.douban.com/subject/4011668/"
"奔跑吧！梅勒斯","5","2019/10/25","","2010年5月","[日]太宰治","https://book.douban.com/subject/4626090/"
"御伽草纸","4","2019/10/25","","2012/12","[日] 太宰治","https://book.douban.com/subject/19985027/"
"津轻","4","2019/10/25","","2017/6","[日] 太宰治","https://book.douban.com/subject/27025767/"
"二十世纪旗手","4","2019/10/25","","2017/9/1","[日] 太宰治","https://book.douban.com/subject/27118453/"
"人间失格","5","2019/10/25","","2016/10","[日]太宰治","https://book.douban.com/subject/26878147/"
"飘","5","2019/10/25","","2000/9","[美国] 玛格丽特·米切尔","https://book.douban.com/subject/1068920/"
"穆斯林的葬礼","5","2019/10/25","","1988/12/1","霍达","https://book.douban.com/subject/1082334/"
"鲁滨逊漂流记","4","2019/10/25","","2002/1","[英] 笛福","https://book.douban.com/subject/1016003/"
"1984","5","2019/10/25","","2010/4/1","[英] 乔治·奥威尔","https://book.douban.com/subject/4820710/"
"情人","5","2019/10/25","","2005/7","[法] 玛格丽特·杜拉斯","https://book.douban.com/subject/1400705/"
"广岛之恋","5","2019/10/25","","2005/7","[法] 玛格丽特・杜拉斯","https://book.douban.com/subject/1400707/"
"毁灭，她说","4","2019/10/25","","2007/8","[法]玛格丽特·杜拉斯","https://book.douban.com/subject/2216373/"
"骆驼祥子","4","2019/10/25","","1962/10/1","老舍","https://book.douban.com/subject/1043815/"
"三国演义（全二册）","4","2019/10/25","","1998/05","[明] 罗贯中","https://book.douban.com/subject/1019568/"
"水浒传（全二册）","4","2019/10/25","","1997/1","[明] 施耐庵","https://book.douban.com/subject/1008357/"
"西游记（全二册）","5","2019/10/25","","2004/8","吴承恩","https://book.douban.com/subject/1029553/"
"儒林外史","4","2019/10/25","","1977/1","吴敬梓","https://book.douban.com/subject/1507423/"
"月亮和六便士","4","2019/10/25","","2006/8","[英] 毛姆","https://book.douban.com/subject/1858513/"
"毛姆短篇小说精选集","4","2019/10/25","","2012/11","[英] 威廉·萨默塞特·毛姆","https://book.douban.com/subject/10774752/"
"爱德华·巴纳德的堕落","5","2019/10/25","","2016/10/1","[英] 毛姆","https://book.douban.com/subject/26840830/"
"局外人","5","2019/10/25","","2010/8","[法] 阿尔贝·加缪","https://book.douban.com/subject/4908885/"
"苏菲的世界","4","2019/10/25","","1996/1","（挪威）乔斯坦·贾德","https://book.douban.com/subject/1045818/"
"天龙八部","5","2019/10/25","","1994/5","金庸","https://book.douban.com/subject/1255625/"
"笑傲江湖（全四册）","5","2019/10/25","","1994/5","金庸","https://book.douban.com/subject/1002299/"
"神雕侠侣","4","2019/10/25","","有1996年11月北平第4次印本","金庸","https://book.douban.com/subject/1255624/"
"射雕英雄传","4","2019/10/25","","1994/5","金庸","https://book.douban.com/subject/1789837/"
"倚天屠龙记","4","2019/10/25","","1994年5月","金庸","https://book.douban.com/subject/1789841/"
"侠客行","4","2019/10/25","","1994/5","金庸","https://book.douban.com/subject/1789842/"
"鹿鼎记","4","2019/10/25","","1994/5","金庸","https://book.douban.com/subject/1559310/"
"书剑恩仇录","3","2019/10/25","","1994/5","金庸","https://book.douban.com/subject/1442037/"
"碧血剑","3","2019/10/25","","1994/05/01","金庸","https://book.douban.com/subject/1058956/"
"连城诀","4","2019/10/25","","1994/5","金庸","https://book.douban.com/subject/1442035/"
"飞狐外传（上下册）","4","2019/10/25","","1994/5","金庸","https://book.douban.com/subject/1667254/"
"雪山飞狐","4","2019/10/25","","1994/5","金庸","https://book.douban.com/subject/1483923/"
"茶花女","4","2019/10/25","","1997/3","小仲马","https://book.douban.com/subject/1013380/"
"基督山伯爵","4","2019/10/25","","1991/12/1","[法国] 大仲马","https://book.douban.com/subject/1085860/"
"呼啸山庄","5","2019/10/25","","1999/01/01","艾米莉·勃朗特","https://book.douban.com/subject/1119522/"
"了不起的盖茨比","4","2019/10/25","","2004/06","[美] 菲茨杰拉德","https://book.douban.com/subject/1008988/"
"巴斯克维尔的猎犬","4","2019/10/25","","2007/4","亚瑟·柯南·道尔爵士","https://book.douban.com/subject/2071071/"
"暗红色研究 四个人的签名","4","2019/10/25","","2007/04/01","亚瑟•柯南•道尔爵士 (Sir Arthur Conan Doyle)","https://book.douban.com/subject/2071067/"
"福尔摩斯回忆录","4","2019/10/25","","2007/4","亚瑟·柯南·道尔爵士","https://book.douban.com/subject/2071076/"
"福尔摩斯办案记","4","2019/10/25","","2007/4","亚瑟·柯南·道尔爵士","https://book.douban.com/subject/2071074/"
"福尔摩斯档案薄","4","2019/10/25","","2007/4/1","[英] 阿瑟·柯南·道尔","https://book.douban.com/subject/2071070/"
"福尔摩斯归来记","4","2019/10/25","","2007/4","柯南道尔","https://book.douban.com/subject/2071069/"
"福尔摩斯退场记","4","2019/10/25","","2007/4","亚瑟·柯南·道尔爵士","https://book.douban.com/subject/2071068/"
"恐惧之谷","4","2019/10/25","","2007/4","亚瑟·柯南·道尔","https://book.douban.com/subject/2071072/"
"东方快车谋杀案","5","2019/10/25","","2006/5","[英] 阿加莎·克里斯蒂","https://book.douban.com/subject/1827374/"
"无人生还","4","2019/10/25","","2008/3","[英] 阿加莎・克里斯蒂","https://book.douban.com/subject/3006581/"
"尼罗河上的惨案","4","2019/10/25","","2006/5","[英] 阿加莎·克里斯蒂","https://book.douban.com/subject/1818347/"
"ABC谋杀案","4","2019/10/25","","2006/8","[英] 阿加莎.克里斯蒂","https://book.douban.com/subject/1903164/"
"谋杀启事","4","2019/10/25","","2007/04","阿加莎·克里斯蒂","https://book.douban.com/subject/2063620/"
"云中命案","3","2019/10/25","","2006/10","[英] 阿加莎·克里斯蒂","https://book.douban.com/subject/1931689/"
"破镜谋杀案","4","2019/10/25","","2007/08","（英）阿加莎·克里斯蒂","https://book.douban.com/subject/2268983/"
"巴黎圣母院","5","2019/10/25","","1982/6","[法]雨果","https://book.douban.com/subject/1024197/"
"呐喊","5","2019/10/25","","1973/3","鲁迅","https://book.douban.com/subject/1449351/"
"朝花夕拾","4","2019/10/25","","1973/4","鲁迅","https://book.douban.com/subject/1449352/"
"彷徨","4","2019/10/25","","1973/3","鲁迅","https://book.douban.com/subject/1449348/"
"野草","4","2019/10/25","","1973/3","鲁迅","https://book.douban.com/subject/1915958/"
"故事新编","4","2019/10/25","","1973/12/01","鲁迅","https://book.douban.com/subject/2046909/"
"且介亭杂文","4","2019/10/25","","1973/3","鲁迅","https://book.douban.com/subject/1790950/"
"城南旧事","4","2019/10/25","","2003/7","林海音 文","https://book.douban.com/subject/1254588/"
"神秘岛","4","2019/10/25","","2008/7","[法] 儒尔·凡尔纳","https://book.douban.com/subject/3198681/"
"地心游记","4","2019/10/25","","2008/7","儒尔·凡尔纳","https://book.douban.com/subject/3198679/"
"海底两万里","4","2019/10/25","","2008/7","儒尔·凡尔纳","https://book.douban.com/subject/3198683/"
"绿光","3","2019/10/25","","2009/12","凡尔纳","https://book.douban.com/subject/4211038/"
"格兰特船长的儿女","4","2019/10/25","","2008/7","儒尔·凡尔纳","https://book.douban.com/subject/3198687/"
"八十天环游地球","4","2019/10/25","","2008/7","[法] 儒尔·凡尔纳","https://book.douban.com/subject/3198685/"
"气球上的五星期","4","2019/10/25","","2008/7","儒尔·凡尔纳","https://book.douban.com/subject/3198492/"
"从地球到月球 环游月球","4","2019/10/25","","2008/7","[法] 儒尔·凡尔纳","https://book.douban.com/subject/3198682/"
"机器岛","4","2019/10/25","","2008/7","儒尔·凡尔纳","https://book.douban.com/subject/3198684/"
"太阳系历险记","4","2019/10/25","","2008/7","儒尔·凡尔纳","https://book.douban.com/subject/3198680/"
"蒸汽屋","4","2019/10/25","","2009/1","[法]儒尔·凡尔纳","https://book.douban.com/subject/3464495/"
"美丽的地下世界","3","2019/10/25","","2009/1","儒尔·凡尔纳","https://book.douban.com/subject/3390637/"
"漂浮的城市","3","2019/10/25","","2010/2","(法) 凡尔纳","https://book.douban.com/subject/4279809/"
"极地司芬克斯","4","2019/10/25","","2009/2","儒勒·凡尔纳","https://book.douban.com/subject/3618052/"
"离奇的小岛","3","2019/10/25","","2009/1","儒尔·凡尔纳","https://book.douban.com/subject/3390636/"
"流星追逐记","3","2019/10/25","","2009/10/1","（法）凡尔纳","https://book.douban.com/subject/4147683/"
"北冰洋的幻想","3","2019/10/25","","2009/12","儒尔•凡尔纳","https://book.douban.com/subject/4196517/"
"十五岁的小船长","4","2019/10/25","","2008/7","儒尔·凡尔纳","https://book.douban.com/subject/3198678/"
"环游黑海历险记","3","2019/10/25","","2008/7","儒尔·凡尔纳","https://book.douban.com/subject/3198686/"
"史班瑟岛","3","2019/10/25","","2009/6","儒尔·凡尔纳","https://book.douban.com/subject/3869507/"
"天边灯塔","3","2019/10/25","","2011/6","儒尔·凡尔纳","https://book.douban.com/subject/6751287/"
"烽火岛","3","2019/10/25","","2009/3","儒尔·凡尔纳","https://book.douban.com/subject/3597836/"
"空中村落","3","2019/10/25","","2011/6/1","儒尔·凡尔纳","https://book.douban.com/subject/6059129/"
"大海入侵","3","2019/10/25","","2011/6","儒尔·凡尔纳","https://book.douban.com/subject/6751288/"
"南部非洲探险","3","2019/10/25","","2011/6","儒尔·凡尔纳","https://book.douban.com/subject/6751289/"
"银河帝国：基地七部曲","5","2019/10/25","","2015/10/1","[美] 艾萨克·阿西莫夫","https://book.douban.com/subject/26389895/"
"银河帝国：机器人五部曲","5","2019/10/25","","2015/9","[美] 艾萨克·阿西莫夫","https://book.douban.com/subject/26389897/"
"银河帝国：帝国三部曲","5","2019/10/25","","2015/10/1","[美] 艾萨克·阿西莫夫","https://book.douban.com/subject/26389898/"
"神们自己","4","2019/10/25","","2014/12/1","[美] 艾萨克·阿西莫夫","https://book.douban.com/subject/26264967/"
"机器人短篇全集","4","2019/10/25","","2014/1/1","[美] 艾萨克·阿西莫夫","https://book.douban.com/subject/24882289/"
"神的九十亿个名字","4","2019/10/25","","2013/4","[英] 阿瑟·克拉克","https://book.douban.com/subject/20470849/"
"世界之眼（上下卷）","4","2019/10/25","","2009/07","[美] 罗伯特·乔丹","https://book.douban.com/subject/3897534/"
"大猎捕（上下卷）","4","2019/10/25","","2009/07","[美] 罗伯特·乔丹","https://book.douban.com/subject/3897538/"
"转生真龙（上下卷）","4","2019/10/25","","2010/01","[美] 罗伯特·乔丹","https://book.douban.com/subject/4214004/"
